,config_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision,test_f1_std,train_f1,train_accuracy,overfit_gap_%
0,1,0.5758374398663756,0.15586103389777411,0.0572129365647485,9,1,900,0.6136337795083898,3.570320411118071,32.81553039625892,0.9383828183808747,0.9703153107238156,0.8443281257549303,0.8314095456225499,0.8377898567083115,0.9312743101062477,0.864086225119155,0.009680334308524108,0.9761574495325751,0.9954950885755265,16.515787547000382
1,2,0.6384349847460061,0.023031531840988717,0.1868565742481217,9,2,900,1.7881503472828508,4.978672260256615,32.81553039625892,0.6298016418542393,0.9692485989855596,0.8380341058599795,0.8267339840886093,0.8322136568802975,0.9300345815231552,0.8618274435412397,0.012047889034647694,0.9869140170723136,0.9975546387396885,18.58901964814399
2,3,0.7792021248679025,0.21211100462348814,0.18220733316799984,9,3,800,0.034060934302257206,2.3433032099706312,65.63106079251784,0.8704869304553342,0.9690443655560002,0.834663390116295,0.8284556983500868,0.8314913513525874,0.9284719922260798,0.8611035011841107,0.006442498318698189,0.9905529690614095,0.9982411545490084,19.129677951559753
3,4,0.8823254751924368,0.07334755700759077,0.14116134091113852,9,6,800,0.9844802170608233,0.26886155830991687,65.63106079251784,0.8228625216755268,0.9683181450214959,0.8263458281511111,0.8311635431625252,0.8286665386507636,0.9282230355211496,0.8624814738536882,0.007603951551256147,0.9864347091336599,0.9974638589197511,19.038800666402533
4,5,0.9847061611676438,0.12906671635056377,0.13477996626284552,9,1,700,0.3926209821550495,4.849105225392724,98.44659118877676,0.6173370191307755,0.9678188516644235,0.8236690877605632,0.8287026096861954,0.8260536424941961,0.9288851256180358,0.8615958868798126,0.0075943866399748265,0.9879036930204285,0.9977418702069917,19.593164680872356
5,6,0.7513601950462396,0.11610634757340865,0.18091916892216803,9,2,900,0.1998573371724509,1.1451269546239817,98.44659118877676,0.5584490203541821,0.9678415067824485,0.8251220798171218,0.8264873757111955,0.8257249448401037,0.9271183581039937,0.8604623372491232,0.006966437584466333,0.995254809107684,0.99912057783784,20.5310334060949
6,7,0.7482305761776499,0.21842535130758978,0.1486065634439554,8,9,900,0.6756711068054693,0.6567470407245335,32.81553039625892,0.8756875430145228,0.9673649380771268,0.8182458322144642,0.8306709323250867,0.8243551145718717,0.9299029919632632,0.8623946591286457,0.005610001361322151,0.9812529727096736,0.9964766358220107,19.0327997442324
7,8,0.7245416963380567,0.3982258847689047,0.113941968274504,9,2,700,1.551395676031914,0.5853220649093133,65.63106079251784,0.8748071421938868,0.9666160315207197,0.8100161588948007,0.8336247795975498,0.8215746304296209,0.9284226782192391,0.8622866959943691,0.007521108817661644,0.9749254519536115,0.9952567923127175,18.66547673749368
8,9,0.9107356263880955,0.17703228117754705,0.13460594579220464,8,2,800,0.6549093354345369,0.2734658728813383,98.44659118877676,0.6330506842686543,0.9667068245394717,0.8131872043614026,0.8296872254436829,0.8212782682069004,0.9263770408055066,0.8599005709328695,0.009835934381731859,0.9885052297174586,0.9978553442576248,20.361790635915078
9,10,0.5781032843433109,0.31797016341335543,0.12386740206649316,9,8,700,0.1270268363171515,2.898630785486124,32.81553039625892,0.9186835398850753,0.9665706388743283,0.8102989094998755,0.8323938584213428,0.8211501484295504,0.930196293167827,0.8623652201289863,0.006866773975953112,0.9720107064954657,0.9946894227033647,18.371860293082353
10,11,0.8737354690668783,0.01834160144529895,0.05796301942536394,9,3,900,2.248848696025762,0.1523607636679708,65.63106079251784,0.7237061834117273,0.9663664234720312,0.8082622259163461,0.832885863341392,0.8203581250621885,0.9293483063851575,0.8630368057247046,0.009196445377229169,0.9763014803700658,0.9955234554384151,19.009180325489638
11,12,0.8822638973273589,0.2867644757277866,0.1916489572862673,9,9,700,0.009503545742105213,3.200991557798119,32.81553039625892,0.9465451025977074,0.9663210179490239,0.8089510301079276,0.8314095456225499,0.8199087949695489,0.9303229188820522,0.8622388929058682,0.006955707353294582,0.9778301830854399,0.9958184886460643,19.26084816808875
12,13,0.868123591849244,0.26492001159055834,0.14437371817244446,8,6,800,1.518311869078041,4.660071711284671,32.81553039625892,0.7662947162757929,0.9656174473818983,0.8028018873477374,0.8316555480825745,0.8168592208482188,0.9291145774067038,0.8617774097079508,0.008206890477345628,0.9783591065181143,0.9959206153399199,19.770834624624257
13,14,0.5283402160829177,0.017336352113033193,0.08446300695934271,9,2,800,0.739559716913949,4.880163493001019,131.2621215850357,0.9430430544067582,0.9652543577172314,0.7973441596737288,0.8355927992777465,0.8159786729840818,0.9305652104199613,0.863712418821456,0.007756680930616834,0.9730285125954513,0.9948880010445859,19.24680690942928
14,15,0.8716472376120383,0.2190558255166476,0.1653798018119897,9,1,800,1.5740169200568668,3.1968740027138773,131.2621215850357,0.7282067198562121,0.9653224054816475,0.7995032136407694,0.833379686013609,0.8158996257207528,0.9287522711866588,0.862101009200475,0.0047913677665892985,0.9843440237598721,0.9970667015934962,20.64523536094507
15,16,0.9857663454505253,0.16567350355152538,0.10158780104129568,8,3,800,1.4228652612937815,2.9543372063552074,32.81553039625892,0.5027528995802104,0.9651409044298083,0.7995964571515795,0.8301789274050376,0.8145236543053077,0.9296218497029489,0.8613934880339305,0.009676772485479272,0.976742206158278,0.995608561982347,19.9157570189074
16,17,0.5678133080036567,0.07281432335271171,0.14251200727506658,8,2,500,1.9160179083612157,0.7062184901327867,65.63106079251784,0.9210968654365572,0.964664327998517,0.7940867885588324,0.8331327746775005,0.8130538461299383,0.9289252710533571,0.8624763896371899,0.010925190848395936,0.9736405033139789,0.9950071488540841,19.751048217583424
17,18,0.6619097874512156,0.33057033921434825,0.13392471709516374,9,5,900,0.39292122898252224,3.029984836355127,131.2621215850357,0.850691642779845,0.9645508026020447,0.792323710790271,0.8343633928950128,0.8127483485390241,0.9282711394920291,0.8625186342395155,0.00920586724512001,0.9797741561491746,0.9961929519025767,20.550740940955702
18,19,0.6187800072838849,0.24463963052580157,0.06435708518593951,9,1,800,0.6149376984777324,3.7099769556308617,98.44659118877676,0.7313051516284892,0.9644827265090736,0.7920315656294268,0.8338713879749635,0.8123370007353309,0.9316247840851254,0.8642449062542299,0.0071060753088884095,0.9732903250125396,0.9949390648743732,19.813614809064852
19,20,0.9483051314870103,0.28799920890283,0.18430516648625103,9,6,900,0.7737084811348195,0.8544379369503291,98.44659118877676,0.9104307365766763,0.9641649599570725,0.790712642167238,0.8319021564599882,0.8106433276305391,0.9274440911693601,0.8605255874734163,0.002899838364025722,0.9804546581703086,0.9963234483564773,20.9477244494342
20,21,0.7477456581030992,0.344201198213868,0.09261719433471179,9,3,500,0.23329603223687123,0.011696953128891296,98.44659118877676,0.6360725686149813,0.9641196316937608,0.7896489135139297,0.8328861663000866,0.8106261951146287,0.9263400710400267,0.8599390089801974,0.00844477791587505,0.9730868505213206,0.9948993479185038,20.041377442005647
21,22,0.5657838425636299,0.3579124823410443,0.1827161789264718,9,10,700,1.1185459115668035,2.5630760260290257,32.81553039625892,0.9271925466847896,0.9639607625820374,0.7869955080523172,0.8353467968177218,0.8104235410013783,0.9298625941254794,0.8615625486500157,0.00964033873689493,0.9679003495629394,0.99388375667025,19.43142080583926
22,23,0.5811909473311605,0.09417454188280072,0.1488576002254665,7,6,800,2.890040498461197,1.2765326236421592,32.81553039625892,0.919057644824055,0.9638473118699376,0.7858410931955666,0.8358394076551603,0.8100306756847493,0.929799521950115,0.8612074969172083,0.010674414237829152,0.969719640588479,0.9942412005816041,19.713940434260557
23,24,0.6771181202223873,0.26275231098432,0.10151062084162384,9,5,800,2.3079146809240196,0.05515632214323607,65.63106079251784,0.5669018681397444,0.9636656975038782,0.7858326082306247,0.8331327746775005,0.8087238852890278,0.928185304704494,0.8613465536196797,0.007198658511410912,0.9730880846367651,0.9948993500108945,20.32389574953577
24,25,0.8744815754301993,0.17849121473433194,0.13060138680976563,9,9,900,1.6370879064390775,1.0203219427330028,98.44659118877676,0.7423447584681537,0.9634841269183132,0.7833923760646074,0.8348541859802834,0.8082616959325858,0.9296644169522053,0.8621972474755198,0.0059413878688220016,0.9783878359469973,0.9959262874892539,21.048398169867145
25,26,0.7650312275258662,0.23399023123902168,0.08803475662441658,8,3,800,2.460759956834669,3.2437355694750907,32.81553039625892,0.5686808729843371,0.9633706556036277,0.7837988749086289,0.832885863341392,0.8074673446415396,0.9303555570009211,0.8606686226078366,0.009979552869745155,0.9672101917944825,0.9937475862965307,19.78319596613012
26,27,0.9810510520825138,0.2678172502937872,0.1274752517634097,8,2,700,0.3703495974310653,1.0299001793848084,131.2621215850357,0.5268909820886889,0.9633253041624072,0.7846416221837977,0.8301804421985107,0.8066958055390359,0.9288587044198643,0.8620657908503956,0.007977714005426607,0.9827965019670174,0.9967716687077536,21.8298762952301
27,28,0.9783602169446749,0.2996798625210828,0.14844469400495452,9,13,800,0.5085122755981759,0.25487438511221205,65.63106079251784,0.8987570226482429,0.963075667785164,0.7801117233646898,0.8351032180272542,0.8065833000092126,0.9289703122633135,0.8613039730377976,0.008141769546708871,0.9767710796210499,0.9956142350973998,21.099839236678154
28,29,0.615026841515717,0.06566756320468903,0.17493032128113564,8,12,700,2.1938102009210567,4.547622554739092,32.81553039625892,0.8192629738320427,0.9630529534347059,0.779936557436634,0.8348557007737567,0.8064440381196704,0.929095733868207,0.8614354177031162,0.009380037293189107,0.9705600896623279,0.994405736852493,20.350581538840018
29,30,0.6794152420617512,0.43860027040655414,0.08456457041030072,9,8,900,2.6990023358765196,3.1205077209091883,32.81553039625892,0.8738046900881256,0.9627125060114482,0.7774793443123243,0.8346084864789536,0.8049592740598769,0.9304088959465642,0.8622953002288811,0.007317592498724806,0.9600681738568824,0.9923291671822196,19.26916116075057
30,31,0.8615747432323148,0.14016723039576046,0.14060720918588515,9,6,500,1.046461601908438,0.5549904939565742,131.2621215850357,0.7885203322309554,0.9626217284446351,0.7770653649221122,0.8338707820575744,0.8044221945010646,0.9283808315193681,0.861534963394976,0.005934953405458373,0.9766839058651783,0.9955972143036634,21.414340944553057
