,colsample_bytree,learning_rate,min_child_samples,min_child_weight,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
1,0.6571467271687763,0.19875765715516733,11,14.439975445336495,500,30,3.0874075481385828,3.0582658024414044,0.6028265220878869,94160.81752308448,1174.0084248622347,449456.62343263684,42716.69353542096,82012.69841430034,1372.1994463497363,368148.63485201524,8430.835740061491,14.81248555853627
0,0.749816047538945,0.28570714885887566,17,11.973169683940732,500,28,0.4998745790900144,2.2962444598293357,0.7334834444556088,101348.29044105267,1689.2903001273987,446699.6205714075,40303.234006719926,86694.20109123678,946.2382519696183,354622.011438904,7657.120395894553,16.903194406733114
7,0.8428136990746738,0.09003976278653757,38,16.043939615080795,300,34,4.9344346830025865,3.861223846483287,0.679486272613669,104718.26967819245,1392.9178789944121,517162.3282456208,34906.68197681806,99325.53973877097,945.6347087644614,481839.9320766581,7060.320518282167,5.429348739110318
5,0.8270801311279966,0.01908085481211199,27,15.502656467222291,500,19,4.474136752138244,2.9894998940554256,0.9687496940092467,106258.83891202204,1199.8847186204966,567373.8440468981,29826.60175872501,103744.1220370596,320.76832833115776,547028.955573813,6531.017497357437,2.4239608235964827
3,0.6053059844639466,0.28323850914860726,23,16.16794696232922,300,35,0.48836057003191935,3.4211651325607844,0.7760609974958406,107202.46407034376,1506.0845970837859,468942.4954280136,40163.13411118775,95593.6266904403,809.0551268886742,398768.68916781194,7853.485711066351,12.143944927935646
9,0.9659838702175123,0.2565111875590418,21,6.617960497052984,1200,44,2.9564889385386355,1.373608964950321,0.8244973703390804,107558.1699864259,1539.1967853594285,418688.3556420166,41133.36175755979,78518.31301185564,1061.3590097627225,263223.46294333093,5246.579984229987,36.98482030578709
6,0.6353970008207678,0.0668350301015521,49,16.89067697356303,1200,27,2.698460661945399,2.9337558283192413,0.9861021229056552,107685.90060629483,871.4520104770039,497002.5982227915,34572.127086323344,100432.48049144387,1166.2491938958483,450955.81040808867,10103.953053961919,7.222185571199646
8,0.602208846849441,0.2464838142519019,26,14.226839054972999,800,42,3.029799873905057,4.631504392566745,0.8604308102007778,111660.13357043723,1301.7305264178985,435101.93547534046,42229.298704512184,92765.20752535427,1330.1380272061979,328651.81069127086,5799.599708728809,20.368548240371975
2,0.6092249700165663,0.16218465147493286,37,19.475110376829182,800,12,4.299702033681603,3.4015376929388985,0.7801997007878172,111802.92686702152,1175.4048957044124,511558.6110753448,33795.76740556174,105763.05293815595,1070.5188895674253,471545.5688550423,9640.52731419744,5.7107598174169105
4,0.6488152939379115,0.15360130393226834,44,18.186408041575643,1000,49,3.7768070515882624,2.1257793724562237,0.6831766651472755,112954.97525658747,1012.0815185752382,443622.4962329129,41413.526195428174,96334.9066072025,1258.782239175786,354741.5092281516,7773.873628742169,17.25238465964565
