,colsample_bytree,learning_rate,min_child_samples,min_child_weight,min_data_in_leaf,n_estimators,num_leaves,path_smooth,reg_alpha,reg_lambda,subsample,subsample_freq,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
680,0.5814044433327545,0.044047972538547586,5,0.3335645569519225,12,2000,17,1.9110352815848477,0.6672347763849188,2.408923900282981,0.8426287954733342,1,456023.1974318619,32268.98183685591,1114907.8479600123,179438.4916977921,186822.50892893842,2988.3411154285814,377734.64577575796,9291.864062878141,144.09435460762344
811,0.8934389198955097,0.034365504663368615,11,0.4618039130422826,6,2000,17,0.5844999166988597,0.5835946696169997,2.8000969581112103,0.633076071877068,1,460988.54785250116,29166.47003838875,1114960.7872261992,175280.00991643182,195682.79824767465,5002.003195384422,391583.79217215755,10733.295195733624,135.57949496870464
654,0.5811492703656939,0.03804453162846359,19,0.07666755487150503,10,2000,16,1.8847609829288972,0.555481447811567,3.9196940771432844,0.8554986067255252,1,462238.29311999807,31076.758162301558,1116204.1834231964,189987.0971110674,204457.01760261346,3606.893417066115,417515.05475635134,11309.692049770116,126.0809135044771
156,0.6272446214472478,0.04372261737379934,13,0.436669190665257,13,2000,17,0.9330283932959571,0.8818837111801241,3.602046591166863,0.8060763458223139,1,469446.71369016933,34203.6976632287,1148710.1159657314,173442.81011665397,203323.06985490752,3002.6222853862905,419926.1007555003,11912.54318126129,130.88708724748705
114,0.8411287286767606,0.03663100581600937,9,0.030625662921817322,5,2000,18,0.5676510158304848,0.883136595376903,2.566520562161424,0.5497750229187426,1,470377.8423472424,34417.03422557066,1137847.360600015,181555.76476185053,211572.8883896749,3415.0442244743454,437773.7989668635,8635.125457056083,122.32425237816891
467,0.5236423283502618,0.03546413681032337,9,0.4750005268530307,6,2000,15,1.3320977049235314,0.7686532166105831,1.0167497745118315,0.768173733518767,1,470702.9805284316,31729.640388479533,1127283.697504762,180914.21004932682,226209.89564898243,4097.9706692119735,467034.8170543721,10004.128158728143,108.08240027608579
574,0.6291958732707473,0.044783572935215094,6,0.2677860664932556,10,1500,17,0.5774860356719616,0.6725307246754575,2.545150820582181,0.6413892768242883,1,471365.0250818181,35708.79923409083,1123968.1669636637,186320.989294351,220163.27628159354,3669.170460551709,451500.8583430564,8264.647697653638,114.09793360766133
458,0.7322580903638536,0.0469890506676823,13,0.4485819915371104,14,2000,16,1.9257992314316135,0.577231520388018,4.930085089024155,0.5344528556254722,1,471654.97715586144,34310.46600338959,1127335.9285771796,168797.87699120547,204520.27061732914,4538.025695913756,415679.3601588465,13051.3841660557,130.6152714018059
915,0.5932212751939434,0.04766784831965838,16,0.3819237435450894,17,2000,17,1.9940191750733725,1.129998658137404,3.0101904268880926,0.8393670905722044,1,476855.16781743884,35844.90360824713,1139641.0854168502,186591.2757750422,218509.0252540317,3880.8096708227554,461003.1259302767,11297.510105644547,118.23133724708259
260,0.6424742588470377,0.041860303768431695,17,0.10536567998538723,5,2000,18,1.5160809822780752,1.322630251813388,4.322754042080307,0.7179310630180747,1,480920.987262012,37882.276599371755,1134530.4923074306,199226.17806338068,231865.28817879112,4193.041733590054,497672.22327871865,11756.630121469152,107.41396482390853
686,0.7744364615773948,0.047593153391520156,14,0.24850801369263462,6,2000,16,1.034913369311579,1.414890607961382,4.786394291113355,0.7905214001475271,1,481904.88049543835,33327.976300024406,1153651.4429386859,190365.88457017147,230687.50840200827,3966.5286696889507,494066.22492802935,11833.533804851357,108.89942582224496
143,0.7908676279065232,0.03790720649639911,8,0.3180947609209131,16,1500,18,1.9814743456040866,0.6403821699436887,4.468125984489794,0.7314701634289573,1,484782.5510130844,37597.94811256253,1146057.892090337,185024.7111402219,235497.06780952364,4165.581863003986,494056.22119494824,12306.02680130306,105.85502635862522
661,0.560564177574434,0.04052731473740596,19,0.20914508509104754,11,1500,19,1.442309895639566,0.9248017359201688,4.943736674499672,0.8122728298751449,1,488201.02623734635,36148.0688137177,1164580.584204223,198755.16189731617,239657.9132623511,4086.5374472102108,510098.5466920223,14694.775627313804,103.70745100451475
715,0.5620034669667018,0.0342291808833832,17,0.4724493189689599,6,2000,15,1.1628617674683888,0.999960676571733,4.057006392277582,0.8159898000067092,1,490508.9607019861,35006.59136078014,1145226.530044236,201911.6123033443,254178.53746441318,5008.1060622494515,538310.0106321948,16721.131571550828,92.97811907925582
323,0.6800466105899244,0.04892389895342395,6,0.48563150725077464,9,1500,18,1.3332431361587902,1.164353560402546,3.328732920370359,0.5817762295798188,1,493212.42863059725,35458.121050386086,1144448.5559819785,199209.52760017838,244606.33895524236,5041.323770048709,524638.1678304294,7939.229481561807,101.63517868637264
76,0.6395473066171982,0.04668786977964782,18,0.37552751751887187,6,2000,12,1.986394214686086,1.2175063351863304,2.5169143398552016,0.8705797694358846,1,493683.71700031834,35999.5516067877,1165615.9875252482,193855.02014459914,253440.61920413593,4189.2549730612745,536637.0780159438,11404.581871498856,94.7926573690528
551,0.7803233672006962,0.038969866077693156,7,0.11035318043754265,13,2000,17,1.0808347118153105,1.489679099710345,2.2179616974161216,0.8931787518218803,1,493721.74790297524,34712.29451981597,1172997.8950685123,185594.5857976546,242046.2609643431,4218.534991572302,522074.06163552345,14197.481382963542,103.9782585097266
387,0.8041697246729886,0.02710734174441399,18,0.4997832745927149,6,2000,18,1.7413295784110705,1.0974792715936807,1.1218547452358405,0.5817793489857093,1,497364.53205297387,37460.50555301657,1154629.4275088152,205325.83849587807,256338.72959758915,4289.872535414961,545691.2794706438,9837.229815301469,94.02629202140338
53,0.8944842977918412,0.03581360055892802,5,0.1470841185127834,9,1500,17,1.5270967588308189,1.0691592877071194,4.64370873797537,0.8290148971692677,1,497733.1594329976,36313.62981197996,1163210.09943107,201721.25102791123,258452.0028982901,4801.651957585477,552668.0623071666,12774.450205282015,92.58243459187776
50,0.8208436996106936,0.04896133143145073,17,0.031148356855782294,9,2000,15,1.878673572917989,1.3854655879623439,3.78164449242659,0.5301738188359078,1,498185.34393995395,39017.15015508967,1169404.6377816887,195038.64093465783,250107.79686241568,4085.4944216971335,535413.9355398731,17279.964091425045,99.18825010241714
603,0.5839672182992206,0.04007957012559734,11,0.09618623887514441,10,1500,17,1.8722524249953172,1.241000302517898,1.576960084472414,0.8035907327416123,1,498503.4048077421,34718.01247613202,1169943.8997790364,196684.08388457427,264182.6817302267,4936.242897097328,568697.642709823,15445.268476535668,88.69647379717148
486,0.6495788537916269,0.044655546173418735,19,0.3489112694146054,6,1500,16,0.5816990710502563,1.1386031422837153,4.860838554182941,0.6712735759468691,1,498937.63239063957,35327.311119181366,1152876.3296773124,191300.0899523316,262102.10380150928,3424.8693932143383,558070.4148700492,8656.12310210937,90.36002578921935
317,0.7824772731853435,0.02811165593900276,12,0.03531767361240094,5,2000,15,1.2233965418782882,0.914723255689402,4.846053355932339,0.7857643054506394,1,499514.78853540635,35305.083355129624,1163180.8821757154,194552.61767902056,266163.8159822939,5514.661762085223,566564.9068919026,14923.057965306223,87.6719368077574
993,0.8417383931130862,0.035278086393066975,15,0.06560208243744517,13,2000,12,0.575053754652135,0.7428836022918972,4.2107166508236755,0.8236130798029329,1,500589.93056264473,34971.90812950102,1168837.5952463753,183726.50708917476,262127.5922075902,4045.6981369400655,547867.8231618311,13502.476930139082,90.97185700550206
791,0.8369485335273288,0.03874850932533291,8,0.32890569573977074,15,2000,14,1.155722157567552,1.4375575398610427,3.4160199909580005,0.848533436936113,1,506539.27174764604,35774.9147657681,1187055.6374795467,192101.78180377022,266115.3145542266,3749.3706646078085,570212.3293844049,11937.92626433665,90.34578021041628
85,0.7786603295507569,0.0463574709153329,12,0.3291699333842406,5,1500,19,1.4100725695742837,1.984457349558351,3.9457769424988913,0.8737468059076059,1,507132.543769868,41078.07603369791,1187542.772586041,217818.4448108788,271284.81382749445,5045.656025182267,594565.461060568,13502.291400174878,86.93731381969107
693,0.6461467366202611,0.04255592660861732,6,0.12397589245289041,15,2000,14,0.6131182639891823,1.376255553497994,3.6772616654540067,0.8553088786046024,1,507147.9287385879,37659.3814776951,1191904.3092652857,190682.44049130805,261700.927616677,4205.580454816768,558998.664696852,11043.566028455902,93.78912155841729
395,0.8338287161022511,0.0469677721357923,12,0.470108246822129,6,1500,10,0.592712691033834,0.8232618483898249,1.6511639568249175,0.7380851336507499,1,510549.06647388655,30079.442098015705,1170138.8529037044,190302.44586916518,287046.0977435868,5014.313957234371,590758.2369740333,15417.430568769965,77.86309254409407
588,0.5582061931149437,0.044224995409229584,18,0.33679835460303637,15,2000,11,1.1535080991834357,0.9518016829986162,3.969195026935777,0.7572417410471401,1,510729.5521002355,38138.96851435764,1182552.4185864045,192939.59313130143,282110.49258995923,4654.771261308886,595342.9673497262,14890.929031938926,81.03883602889188
103,0.7886131444487623,0.03168901934937401,10,0.24326469707755885,19,2000,12,0.8224105678861351,0.6091409727144963,2.0490561771993003,0.738031172280102,1,512143.52906476473,32475.493252174507,1183541.9786364702,181120.38723010823,281585.83282307524,6525.146479925241,585876.3236810443,13904.621029096475,81.87830116671833
5,0.5739417822102109,0.048570477504934255,14,0.23037952535118517,14,1500,18,1.5909079937846313,1.6428926908204238,3.2817758976215976,0.7083337040103295,1,513055.7937794868,41363.03120445011,1185028.3363739038,205315.68190396053,277103.12746292504,5411.21214796965,602554.3878695468,15419.613895846529,85.14976661464458
777,0.676739613791093,0.039222522625731,15,0.18766577417139177,10,2000,10,1.4102398453828744,0.9197265062449556,2.2829323693786923,0.8470566458880894,1,513342.5724892854,35956.495989063194,1192658.41873512,193487.68784651198,289467.72015921003,4204.411010336549,606273.3317903768,10145.645300824417,77.34017879677293
251,0.5046826442923616,0.02283561022599903,7,0.22993800512060703,11,2000,19,0.5656086084634211,0.9305115329331097,3.2345695858017014,0.6372669412690632,1,513654.5106143985,37372.26252712061,1183504.6108078095,200025.08912493856,285692.39447602077,5410.446502117617,616575.6393329791,16494.7097445453,79.79285432378266
944,0.6089868736132384,0.04209390910870249,19,0.42590771386016185,16,1500,13,1.2542645929986302,0.6815872715789728,4.768934877964664,0.7108903913001934,1,514598.5762747818,33858.57267290093,1179948.9148399294,184952.0781530335,288821.4455532854,5125.167401579719,604569.9832872421,13065.436673694636,78.17187199828004
659,0.6610105421960568,0.04624188246965747,10,0.13870817031193744,8,2000,14,0.8878358954603689,1.680243716422,2.609041654734168,0.5204897185617253,1,516074.73741629755,37183.963351209255,1184657.152478022,186913.7184475199,285821.4422799743,5075.83256542933,612586.907816727,14413.738231237065,80.55844001751986
951,0.7579625295459669,0.04301976911775772,6,0.177032677591255,10,1500,19,1.2792527821474717,2.076877886734766,1.0465795980123849,0.7227248572562961,1,518335.44668499165,40559.35573869148,1193183.2746054926,215673.07062755353,287683.79373904085,6390.766341540516,633248.9433390578,18522.21141139162,80.1754071538614
411,0.5672814623066073,0.04432852013688828,19,0.05690723682475468,12,1000,19,1.9371770133791506,1.2715610148589662,4.54472708851738,0.8737216456669961,1,520845.0529430654,37626.98917783258,1205955.8722051096,212634.2487757491,295312.8362527079,5894.440083710384,644181.7905567125,17194.685499733332,76.3706107571169
444,0.8491437686262658,0.026498072622345055,10,0.05532521459009226,15,2000,17,0.5385344673041123,1.4958948498692681,2.7721348253504776,0.7468423777714626,1,522616.1018761859,40220.34391153509,1197209.4719815499,204504.80366512996,288967.5900400632,5489.090946167474,630101.9295773313,14160.373611996243,80.85630357498886
959,0.6392922558829475,0.03637986287086445,10,0.2845724672697813,17,1500,14,1.5793376198981524,0.8760862575466029,4.384476742220447,0.794287194711244,1,523439.5105737657,37861.9084901296,1208853.6969027207,196763.25626108996,300585.05160623987,6241.73013645014,644482.291375963,15126.737780252672,74.14023344695815
819,0.8048130884156204,0.028256821950861186,19,0.05507241022869197,17,1500,18,1.170909452235683,0.7533173761794287,4.81652656628429,0.5893021604277444,1,523440.5502473494,36772.68659890992,1198602.303491807,195467.730355942,294443.18685795553,8006.575039152526,632588.7224276885,19525.63254989294,77.77302162534538
988,0.6399446776889914,0.036291230306664604,13,0.45305369170068965,12,2000,15,1.7075265398519417,1.794610189768437,3.5941366361333698,0.7901558406647331,1,524172.4767980613,40504.96803621653,1208240.6598672569,207225.0440119297,296192.8618853262,5885.920537188,647474.3968338321,16969.738206968348,76.96998957422527
