,activation,alpha,batch_size,early_stopping,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,random_state,solver,validation_fraction,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
6,relu,0.00019762189340280086,128,True,"(64, 32)",adaptive,0.002045610287221893,120,42,adam,0.1,10205.380852546183,305.773435660446,57363.818662795486,34558.559085465444,9726.602883325699,109.34549558841172,22327.352731072926,189.22919109802206,4.922355471520823
0,relu,0.0001329291894316216,128,True,"(64, 32)",adaptive,0.0026975154833351147,120,42,adam,0.1,10952.635299334384,907.9063010593436,174479.5333055252,151685.44351703706,9760.243078878553,190.4624580497284,22559.342380289403,21.530471951378786,12.216829138571384
7,relu,2.621087878265438e-05,256,True,"(128, 64)",adaptive,0.0011623364244752177,120,42,adam,0.1,12230.769850740093,1046.4682059460774,187942.31758272246,162395.09208229592,11033.828378478542,95.83504604839709,24590.07508018222,750.7905905899006,10.847925409064562
11,relu,0.007025166339242158,256,True,"(128,)",adaptive,0.003216379996424946,120,42,adam,0.1,12398.644808066463,35.78579596550571,46723.56823948311,18788.124404840757,12177.231003381803,242.134644087977,27041.39863376693,1083.8627061977713,1.8182606918039967
3,relu,0.001331121608073689,256,True,"(64,)",adaptive,0.004665303012212832,120,42,adam,0.1,12787.779012150484,613.8255582610627,112982.28163008203,83290.36289856795,12002.528918402033,1456.0120905395752,28265.203209213178,1768.1359368685862,6.54237202082073
8,relu,0.00023345864076016249,128,True,"(128,)",adaptive,0.0007918515779559374,120,42,adam,0.1,14507.91819634235,228.75914072690102,40979.51271710532,9223.653615267269,14268.83766091878,555.0685509958194,31400.624268698524,855.5802321715637,1.6755431739082338
1,relu,0.0006251373574521745,128,True,"(128,)",adaptive,0.0007160849144555758,120,42,adam,0.1,14649.8915259817,329.45907605936554,39695.21318219203,7336.107451184078,14441.940939152253,638.5218162717101,31929.81582821204,991.7859526246793,1.4399074730023997
5,relu,3.5498788321965036e-05,256,True,"(128,)",adaptive,0.0016738881542579659,120,42,adam,0.1,14658.802707250634,217.9876653343481,44941.761059435776,14082.964971567586,14408.293226376425,99.37188016255823,30302.627869318872,952.4539123999839,1.7386478532767091
2,relu,1.493656855461762e-05,256,True,"(64,)",adaptive,0.0019956529392808394,120,42,adam,0.1,15163.95957153055,803.1525965743749,35060.2949961209,2368.5784631715924,14956.508980227158,471.7563821376816,34129.15966238337,792.2910143059926,1.3870254855437691
4,relu,0.00314288089084011,256,True,"(128,)",adaptive,0.0007599674150654904,120,42,adam,0.1,15472.64221461802,0.4526318124071622,39158.53374467327,5339.91531014318,15226.62348962473,388.83007137209734,33939.6450927603,564.0650094494231,1.615714246569011
10,relu,0.0006647135865318024,128,True,"(64,)",adaptive,0.0005807932994623225,120,42,adam,0.1,16286.113883203183,181.25765685855094,36578.725492690995,1469.5110262397102,16105.991792216984,598.8573965884798,35554.049421753996,605.7393196249723,1.1183545435136777
9,relu,0.0003489018845491386,256,True,"(64,)",adaptive,0.0005564426587452864,120,42,adam,0.1,16316.307379858823,211.65202700676764,36250.81388637476,1127.1223076086753,16133.582047678845,594.6084232243393,35404.429382181464,499.2071774272954,1.1325775741554356
