,activation,alpha,batch_size,early_stopping,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,random_state,solver,validation_fraction,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
7,relu,0.00019010245319870352,128,True,"(256, 128, 64)",adaptive,0.00018033330377234335,200,42,adam,0.1,1792889.6001187444,38507.51176247911,3573437.4342323593,76927.80119971553,1739163.4990081012,24228.087645501844,3519355.6873655263,68469.7168080907,3.0891920823594265
8,relu,0.000816845589476017,64,True,"(128, 64)",adaptive,0.00013790054557672574,200,42,adam,0.1,1798087.5160354956,34197.120611297,3569610.6691394676,82241.6269784281,1741444.170700349,20295.646689666017,3513681.4619808453,59007.235342899265,3.2526650172406413
13,relu,0.0007591104805282694,64,True,"(256, 128, 64)",adaptive,0.00022187777750487178,200,42,adam,0.1,1803097.633493637,17538.600039362176,3573581.634055846,85174.59907516075,1725374.0225210686,36756.61777856001,3492649.2106864415,26197.7679572314,4.504739839481342
11,relu,0.007902619549708232,128,True,"(128, 64)",adaptive,0.00036732078004620474,200,42,adam,0.1,1806425.2214455816,20304.834622883092,3570457.396293594,88346.9372438711,1731463.0043108112,25274.40723453092,3494578.7981282244,35948.02294862256,4.329414890652439
10,relu,0.0016409286730647919,64,True,"(64, 32)",adaptive,0.00011103735608516835,200,42,adam,0.1,1807549.5670208253,18095.731511495193,3612324.3426312655,113770.24105127067,1732009.1931803774,19900.874418888452,3530827.3788331677,6846.709163157727,4.361430305213232
3,relu,0.0026070247583707684,128,True,"(64, 32)",adaptive,0.00047636285950294487,200,42,adam,0.1,1808664.5366914652,24540.462735986635,3604263.9194081835,97024.90309042044,1729960.46697948,40222.027505004735,3522590.2143747513,26485.050828766183,4.549472153511269
9,relu,0.0010677482709481358,128,True,"(64, 32)",adaptive,0.0001077624471674887,200,42,adam,0.1,1810237.4588691893,23414.109125461484,3612367.0465140888,117021.98289966396,1736447.6505079987,16474.52367136621,3532216.8563312828,4666.196286081834,4.249469216051716
15,relu,0.0021137059440645744,128,True,"(128, 64)",adaptive,0.00023094679892576625,200,42,adam,0.1,1810270.7857978747,18597.460115151596,3568699.8803498284,82415.82305060829,1748787.0753992477,32647.4791487078,3508703.9686228447,54183.46910478233,3.5157916743289164
5,relu,0.00023270677083837802,128,True,"(128, 64)",adaptive,0.0002326960468194962,200,42,adam,0.1,1811358.790399817,19337.14570259525,3568650.5707962806,82564.30742443296,1749826.5069692256,31828.76697932332,3508470.2975190165,53611.5918679679,3.516479101529213
14,relu,0.00011715937392307068,128,True,"(64, 32)",adaptive,0.00015166293102182276,200,42,adam,0.1,1811690.052805352,20961.79156478058,3609447.057606565,113916.32671241737,1737058.0465064598,18902.174433274133,3528351.728019232,4763.489522579651,4.296460124000512
1,relu,0.0015751320499779737,64,True,"(128, 64)",adaptive,0.00012853916978930154,200,42,adam,0.1,1812088.8842498586,20925.54607334633,3568779.8483185316,83390.57326606305,1750061.8495437447,30547.83936954905,3508111.233368049,52847.361608840256,3.544276719264805
12,relu,0.0004066563313514797,64,True,"(128, 64)",adaptive,0.0003007865147526456,200,42,adam,0.1,1813762.333999441,23624.978886531386,3569466.775771461,85628.56436428279,1738215.2061061738,12865.205485505312,3493670.3717504516,28913.1234613923,4.346247094598987
4,relu,0.004622589001020831,128,True,"(128, 64)",adaptive,0.00013399549522183018,200,42,adam,0.1,1815737.2586824817,31805.251815883923,3569610.284658154,87881.32187103282,1744055.284312793,13866.771145938768,3497785.6863330486,33703.986449149525,4.110074664171748
2,relu,0.00013066739238053285,128,True,"(64, 32)",adaptive,0.000263124545105745,200,42,adam,0.1,1824028.8950803755,9923.938341370947,3598387.072831042,97912.29638073347,1747897.192668938,28362.890618170306,3517832.596215596,14815.918125015267,4.355616722239186
6,relu,0.0007309539835912913,64,True,"(128, 64, 32)",adaptive,0.0002677113724214593,200,42,adam,0.1,1839845.9460635066,20764.15385140405,3573747.824581711,77756.23644044739,1757599.0549653356,35695.485457431896,3490229.4009354697,26922.95440066037,4.679502464786722
0,relu,0.0005611516415334506,64,True,"(128, 64, 32)",adaptive,0.0003248192869770287,200,42,adam,0.1,1841297.3788737794,22187.02135121708,3575301.2242914443,77858.84248106602,1757858.4178752226,44717.1769906225,3490419.9757175297,27167.960181551338,4.746625789090109
