,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
186,0.7815158165534557,0.11802523167323198,0.032049024199003795,14,1,900,1.2435713629381495,0.846857994641612,60226.55076888226,384.32350892011317,410998.3503487745,15258.72182090242,15230.942374145105,516.4777076572346,94544.3554981127,8746.075416146512,295.4223533214747
25,0.8233173814428391,0.44131817159466985,0.06661213250241381,14,3,600,3.629778394351197,0.9588441039810308,69691.68996601457,264.0276000026582,413924.51988108706,18703.061089403902,25354.377805345797,1217.809610214282,124428.59199989024,7244.60402891299,174.8704405253461
199,0.8439327221994778,0.2817194636742294,0.1241259112698393,14,1,300,2.728434442477367,0.7777677811004806,69889.31502456292,250.06846423335347,414081.36576848384,14807.035845196693,21931.10820601822,575.4160149813011,103543.23832868766,8097.783177503937,218.6766230325938
66,0.7413408912104211,0.29182805592543604,0.03332039108949545,14,4,600,3.490808570098726,0.8144385465376481,72271.65720757352,227.44912014070533,409084.63011488813,21587.04160445586,43772.3479603815,996.0680481740892,212019.14959051544,6014.7605760059,65.10802041733479
158,0.7203854267787265,0.3540860443226408,0.03020518044063151,11,1,1000,3.1045775888373854,0.6182968135250051,74035.87478766205,245.24745743583105,413421.69710344117,18365.33357341279,47108.054680428984,716.0090087512976,207125.293942071,6334.411593508885,57.161817209192066
277,0.8603893868603816,0.27271593470345273,0.028681931764565682,13,6,800,1.7798668689742636,0.9912247271894115,74747.22442474855,580.4580455975805,415065.653478521,18611.35551550825,47200.27241056811,850.9374127149957,228776.3255045338,6385.09338240761,58.36184964053872
34,0.8784119186699892,0.2850305850446825,0.03915294813123056,11,2,600,1.4764529420946937,0.7290203056954402,74969.88667277584,274.6237088288379,416151.4526379079,19741.022800726907,48398.11496491739,1042.456642088368,216368.0635872921,7447.884360903458,54.90249305602022
230,0.7545843364636589,0.28222054533944124,0.06753473667755817,14,2,1000,4.9743315858488355,0.6231122243985466,75075.57660905516,440.17646340743806,410525.016037276,17485.55457529931,25071.506738821365,897.4076844414868,111817.53663556794,8654.142033072145,199.4458107011423
68,0.9676706207342238,0.04137421001765307,0.2729984457777378,10,1,1000,4.052766653909164,0.9949104517259778,75222.5042584334,505.1362365224566,424665.9025460546,10892.973169901032,13952.37621295115,1139.4327599678893,86590.12536512013,8928.324869397917,439.137585672388
148,0.9509843450521521,0.13280002129435303,0.04885447638484125,14,3,300,4.260967666735039,0.614168947367418,76489.2306061395,549.9073546279583,418254.3737378698,21004.563317466316,52453.351762634855,1329.0714469779375,251349.1158088832,6781.4439283930515,45.823342142697186
151,0.8064316081774466,0.45325685972229,0.18139568257587224,13,2,600,4.322464401536743,0.8935639675814806,77005.57273245808,166.35528926040033,419415.3775415138,15702.28139124615,17144.30829039325,434.36758714788743,91468.22774062869,8536.236913001145,349.1611526585057
