,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
186,0.7815158165534557,0.11802523167323198,0.032049024199003795,14,1,900,1.2435713629381495,0.846857994641612,2536.179022816815,7.1132181123883145,7578.45198051235,86.49149999428896,710.087251480003,13.094990082839457,1434.87265119717,35.96678171572769,257.1644213483302
344,0.8749625456544949,0.012249224133826175,0.10184120226387795,13,3,1000,4.0411760500461105,0.9790752103857883,2554.0347689340038,8.899342658947651,7708.597656757723,120.54451970359051,444.45898017195617,4.12635109647295,1180.4976511865107,26.906215593857826,474.6390292183716
404,0.8857643054506392,0.4762335583439234,0.07801821469898897,14,4,800,1.4502276598121844,0.9485656136763417,2570.628461632012,3.655594844788943,7716.8604765549635,78.08665355766964,534.5934060944778,12.549669096168916,1275.3750590178388,35.683866488334225,380.8567468895621
230,0.7545843364636589,0.28222054533944124,0.06753473667755817,14,2,1000,4.9743315858488355,0.6231122243985466,2577.988131940023,4.383098395472431,7506.954430342738,170.20053201805192,783.7169089551088,24.16049844360826,1622.4226507896626,59.20478185656352,228.94379366870209
373,0.9722427219386148,0.2486562230844862,0.0790752762131544,13,1,500,1.509583500387509,0.9044353224095503,2600.6563125716416,4.33094138339581,7778.217663195599,63.73670243183248,724.0492484941364,11.74052848177409,1448.4280243354985,33.17053022432794,259.18224043190935
212,0.6927788384463902,0.19545299795275733,0.18834290055585193,14,2,600,2.9852345844784582,0.8703364980349504,2612.59885514605,4.468037185433662,7761.042406046632,131.58135886056175,436.24770284546344,10.676171174550829,1157.0162865292596,32.898618735691976,498.8796819112508
25,0.8233173814428391,0.44131817159466985,0.06661213250241381,14,3,600,3.629778394351197,0.9588441039810308,2613.609876358313,10.140797175396338,7691.409924564676,132.55062111470136,745.8189073585978,8.325546042249288,1591.8699484596339,22.855049423977007,250.43491799030795
151,0.8064316081774466,0.45325685972229,0.18139568257587224,13,2,600,4.322464401536743,0.8935639675814806,2619.5371680507865,6.8910202724145675,7794.465466937498,122.65847880343736,532.7586585692225,7.3010798276238695,1258.7366661226254,31.38521144345736,391.69302570995654
68,0.9676706207342238,0.04137421001765307,0.2729984457777378,10,1,1000,4.052766653909164,0.9949104517259778,2646.834391020307,10.168058244314107,7773.86127766671,176.5789135408116,466.09183786532736,7.454285396016785,1176.7300582958612,27.86108178846737,467.87829693449464
268,0.6028116815254476,0.028640125538811678,0.07756711068054692,14,4,900,0.3447900817821059,0.6228218884605017,2648.829821359029,11.986682420452155,7530.972663109241,196.18692466397258,818.967753687702,22.956611716970006,1636.485977242032,56.82182234802162,223.43517915469852
199,0.8439327221994778,0.2817194636742294,0.1241259112698393,14,1,300,2.728434442477367,0.7777677811004806,2651.067737550234,3.355134387119423,7774.562590052484,79.4174342919323,775.4836947821276,17.018654760237165,1545.3458196770787,41.01481422216489,241.85989407489123
486,0.8415403930161112,0.2883070035648589,0.1776297833873193,14,6,1000,1.263992220078865,0.9755579840165101,2652.6017420582807,4.6399762372907,7863.841551084257,85.94389956353191,303.6482915951185,7.40254656283868,1056.1197273875587,30.295226343446995,773.5770348397785
