,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
946,0.8134217734214317,0.00012050234256727466,0.08237330081140835,9,5,600,0.07749120913095153,0.6667057075490768,392505.4640382776,34993.56900638242,1061922.1675765396,183820.82430622992,42594.17100291662,1930.664906728293,82265.10581468476,4768.968002135809,821.5004184760421
794,0.9617811246249975,0.00037385418526553194,0.18824091744326538,14,8,800,0.9615788639217526,0.7855745053819564,420401.9693421346,26850.08675566675,1138849.4333862003,166106.80417078643,35374.68011103184,367.3902088954917,68033.17025893879,2149.463635238251,1088.4262077355982
338,0.6237886275469123,0.0015839242903508688,0.20205949346788715,6,8,600,1.5594954000214023,0.7024190260419817,422736.6327427629,16695.24430239957,1086091.1221454372,169404.0425522083,79475.7821983217,1401.5600218298232,143613.60247628458,3789.4738563159,431.90622482692584
908,0.7896408303369068,0.002053101448724226,0.013304007500682238,13,4,900,2.8158219422697743,0.9775096481379264,430765.28541288356,34361.811671188414,1115860.9913173867,201871.6166668143,95392.68594449088,2733.2921732715017,244910.2124439186,16588.79047664958,351.5705592602209
714,0.6188233517840075,0.009724025184040586,0.06663820833203334,9,8,1000,2.2852982963288815,0.7161020421490117,433565.93202166416,32466.072501748487,1076792.3759881083,186319.02910186534,134579.93174740646,1615.455967965946,256228.50095395517,10233.681355290866,222.1623955311744
287,0.6648933623129917,0.00630375998787952,0.1779267050915148,6,4,300,4.1147922311074305,0.6839011790734726,440474.1197655952,28044.355341066264,1080554.8023686204,182475.23030907364,136473.948629916,2769.8364496043596,243055.35465218103,7864.304005537037,222.7532611077689
257,0.9330721877388173,0.005515807131232897,0.23486364534066648,10,11,600,4.209851857483543,0.7881276216407143,440502.48141592566,30854.620898312765,1107154.6767550572,166881.13817852343,111283.97411851438,819.7204593542565,200038.83623761125,3746.688496850669,295.83640403316525
365,0.6502200859050613,0.008473832444790497,0.2410474635271288,14,2,900,1.3279141647930304,0.6070209453466515,442673.10423413443,37336.18656372121,1082663.6855281084,186565.9330819698,112385.30014399365,1780.457482513613,199974.47828617351,9414.382626714483,293.88879476849695
635,0.6878539714378276,0.00011351910912776875,0.28450046132425816,11,2,900,0.6018178810499303,0.6270418997889532,444596.873897258,37362.9890591496,1142476.4693471598,181102.17809611032,20529.49723554103,814.4730502517598,47651.20381642091,5679.095772966638,2065.6491086764854
730,0.8844640350111064,0.003398274293055892,0.2391569500600642,12,18,500,2.223563884291679,0.830617995980456,445146.425128818,35366.47460338381,1155271.5783728114,183013.9295061679,99174.84745343585,927.9416451233776,181416.33194777186,8526.078402088287,348.8501233519126
228,0.6272689237541974,0.012905953474743492,0.05054988674644683,9,13,800,3.8836181523584634,0.648814020849758,448268.7980732671,37026.86064001431,1113537.924407133,191116.73632490158,165487.3707844077,3025.2627103264454,347208.4137951612,8014.499984691659,170.87795035263392
396,0.9015318802276875,0.010335684445952231,0.09070589403949314,14,17,600,3.1421702370949944,0.7927469917098466,448828.4406361906,37052.31975783532,1121482.8028028095,180980.15516861904,148263.55120983126,2154.9101313346255,318517.79042929446,15308.383388450666,202.72338479265363
750,0.9722689022249593,0.012322202318161335,0.21900669636195907,6,7,1000,4.878009595783262,0.6261107030265856,449532.8266001662,25739.097250360734,1111099.842941574,155087.39405348763,138892.14860130072,1865.789853795007,244742.98327961992,9143.820480363029,223.6560389677465
494,0.6642718338847381,0.012485831058524799,0.14471163037903775,14,15,800,3.622991434238145,0.6446371999828989,453210.8087949412,29503.478569761337,1112923.434431087,164705.4007690286,146895.1807996734,2498.9243495241362,282277.34396802925,6627.606607741171,208.52666937590155
906,0.6521805639774472,0.006288906243097692,0.056188971599951155,12,16,900,2.9565057446162237,0.9547363611326428,454040.96838035976,39802.99171279839,1135025.8046571705,220665.96978064018,156270.86090957787,2830.242675223043,330665.6269390901,22448.399557201225,190.54742882812872
766,0.793429834281547,0.007323563636243369,0.28634316405425253,13,4,600,3.2296394651151967,0.693151658460726,454837.87079240324,44797.10807491056,1138117.6687274617,189829.47455138768,110655.44382998534,1699.1875766402152,204271.37119664493,6433.187168254288,311.0397600422001
744,0.7754596073743938,0.019378467777091235,0.15986450056140136,6,1,1000,4.033867848243837,0.7007227064203526,455370.0883636646,30379.55006477859,1102850.335554591,186769.37701721763,174613.5803201068,1589.4589993558986,323517.22969324753,8025.010226102306,160.78732680978572
31,0.7123089449763423,0.01215798321572692,0.20364168877215036,6,12,800,2.349722569954715,0.7118241367187035,455802.91363854846,17657.882283563,1142016.2545301197,161069.60162065268,151102.50650631546,3705.3798133065966,270000.27173058415,12379.723432539804,201.6514577933211
292,0.7015899498288098,0.015557799958678842,0.23178842054943197,7,2,600,3.4316359834304873,0.6278564592649623,456257.2799982029,27254.99922590054,1090499.0946278446,173660.65403770283,155930.46200782066,2980.756118227119,282993.0695762133,7516.665318181439,192.60304505178686
586,0.7781546103911489,0.0072835773756394495,0.08421992411750373,12,19,300,2.8580382474147195,0.67393535917881,458123.9100308221,37952.96862123253,1133806.0748136865,196063.2575258908,167659.64168557027,5031.979008557011,410297.540014909,22219.503773922446,173.24638501255416
603,0.8969085569009148,0.012599547410534817,0.11644955666294879,7,16,800,3.4966973312632152,0.7322244009225163,459529.3626510188,34039.98785728633,1123882.5123219027,174307.45975023357,157496.69958711747,1642.202840370131,293192.8647889289,9257.780860876874,191.77078875664657
752,0.7756522643219402,0.01997398664304717,0.11868804700006144,7,12,900,2.296718277969782,0.6220406140635324,461344.7698526542,34467.27910571618,1110208.453767713,174431.39772537633,174765.31798501266,3028.4015752763576,324226.08642490685,11312.159431970607,163.9795899849063
47,0.8569677112825262,0.013255655270810907,0.185732674382039,9,12,500,2.8668352083596664,0.651400141293564,463497.8287161449,29675.99744859464,1142029.6041171718,162332.27540812216,149905.48389538663,1801.3380583241037,270807.42954615236,6429.476766505061,209.19337750152124
